time,pressure
0,101.32155703053854
1,101.16875195137618
2,101.24291944158776
3,101.19412302187577
4,101.30948560445083
5,101.25615164477243
6,101.23262432266468
7,101.33629302331347
8,101.18014158636366
9,101.30616172832775
10,101.36234733728861
11,101.20343790448675
12,101.35428721414961
13,101.29991882605711
14,101.39863465234865
15,101.3002298876413
16,101.37912458970106
17,101.26477784458498
18,101.26364957636625
19,101.35824338683932
20,101.29492764021576
21,101.3572788055334
22,101.47486156558439
23,101.35270626389072
24,101.20387372182931
25,101.23274313107532
26,101.40852085607861
27,101.29242859927129
28,101.3201254736301
29,101.33194607828808
30,101.402716839301
31,101.23517314007388
32,101.07117895318123
33,101.43698358721471
34,101.12903516164204
35,101.23128753690645
36,101.32523093080907
37,101.38599666593927
38,101.3163712765202
39,101.1651419973096
40,101.34745189363497
41,101.53690411897401
42,101.37056318589526
43,101.2951940755192
44,101.2187515432181
45,101.33070774968729
46,101.41150280285154
47,101.45216217212813
48,101.19629262557736
49,101.18050999144796
50,101.36728028537944
51,101.36771179841473
52,101.28405660912355
53,101.43736440957868
54,101.40072604082509
55,101.32456729679055
56,101.467908233065
57,101.31939976614466
58,101.52265551379102
59,101.1255700773548
60,101.32246411947793
61,101.40989285325878
62,101.25843576490986
63,101.26892677543515
64,101.39265792402536
65,101.34774223071864
66,101.27421537226118
67,101.21711924152521
68,101.1122313316177
69,101.1890356279498
70,101.23695911708306
71,101.19962038202127
72,101.17531572530108
73,101.30679346768717
74,101.25298186436693
75,101.42895493481925
76,101.47807584821888
77,101.27661000306155
78,101.18546859036711
79,101.2130740536128
80,101.38261304574954
81,101.43105668625111
82,101.33861861717682
83,101.34388222258566
84,101.36873201540607
85,101.03607933045564
86,101.27803812965308
87,101.35759546742523
88,101.55257728133641
89,101.28616994599
90,101.33828569095321
91,101.25137633242043
92,101.42021850995349
93,101.44066752842916
94,101.30298657578237
95,101.18818040095798
96,101.31108992435479
97,101.30695263492974
98,101.185689196573
99,101.3314891026832
